Question ,Answer
???? ????? ?? ?? ???,??? ???? ?? ??????? ??? ???????
?? ???? ??? ?????? ?? ????? ?? ?? ?????,??? ???? ?? ??????? ??? ???????
?? ???? ??? ?????? ?? ????? ?? ?????,??? ???? ?? ??????? ??? ???????
?? ???? ??? ???? ?? ?????? ?????,??? ???? ?? ??????? ??? ???????
?? ???? ??? ???? ?????? ?????,??? ???? ?? ??????? ??? ???????
???? ??? ?? ????,??? ???? ?? ??????? ??? ???????
?? ???? ?????? ?? ????? ???,??? ???? ?? ??????? ??? ???????
???? ??? ?? ???? ????,??? ???? ?? ??????? ??? ???????
?? ???? ?????? ?? ????? ?? ????,??? ???? ?? ??????? ??? ???????
?? ???? ?????? ?? ????? ?? ?????,??? ???? ?? ??????? ??? ???????
?? ???? ??? ???? ?? ?????? ?????,??? ???? ?? ??????? ??? ???????
?? ???? ??? ???? ?????? ?????,??? ???? ?? ??????? ??? ???????
???? ??? ?? ????,??? ???? ?? ??????? ??? ???????
???? ?????? ?? ????? ???,??? ???? ?? ??????? ??? ???????
???? ???? ??? ?? ??????,??? ???? ?? ??????? ??? ???????
???? ???? ??? ?? ????? ?? ?????,??? ???? ?? ??????? ??? ???????
???? ???? ??? ?? ????? ???,??? ???? ?? ??????? ??? ???????
?? ???? ??? ???? ?? ???????,??? ???? ?? ??????? ??? ???????
?? ???? ??? ???? ???????,??? ???? ?? ??????? ??? ???????
?? ???? ?? ??? ?? ?????,??? ???? ?? ??????? ??? ???????
?? ???? ?? ??? ?? ???? ??? ?????,??? ???? ?? ??????? ??? ???????
?? ???? ??? ????? ?? ?????? ????,??? ???? ?? ??????? ??? ???????
?? ??? ????? ?? ?????? ????,??? ???? ?? ??????? ??? ???????
?? ???? ?? ??? ???? ?? ?????? ????,??? ???? ?? ??????? ??? ???????
?? ???? ?? ????? ???? ?????,??? ???? ?? ??????? ??? ???????
?? ???? ?? ???? ??? ??????? ????,??? ???? ?? ??????? ??? ???????
?? ???? ?? ???? ???? ?? ??? ????? ??????,??? ???? ?? ??????? ??? ???????
?? ???? ?? ???? ???? ?? ?? ?????? ?????,??? ???? ?? ??????? ??? ???????
?? ???? ?? ??? ???? ?? ???? ?????,??? ???? ?? ??????? ??? ???????
?? ???? ?? ???? ???? ?? ??????? ?? ??? ????? ??????,??? ???? ?? ??????? ??? ???????
?? ???? ?? ???? ???? ??? ????????? ?????,??? ???? ?? ??????? ??? ???????
?? ???? ??? ??? ??? ?????? ????,??? ???? ?? ??????? ??? ???????
?? ???? ?? ???? ???? ?? ?? ?????? ?????,??? ???? ?? ??????? ??? ???????
?? ???? ??? ??? ??? ?????? ????,??? ???? ?? ??????? ??? ???????
?? ???? ?? ???? ???? ?? ??????? ?? ??? ????? ??????,??? ???? ?? ??????? ??? ???????
Come up with something else,I have one answer for each kind of question
Do you have anything new to say?,I have one answer for each kind of question
Don't you say anything else?,I have one answer for each kind of question
Didn't you already tell me that?,I have one answer for each kind of question
Didn't you already say that?,I have one answer for each kind of question
Didn't I see that already?,I have one answer for each kind of question
Could you tell me something new?,I have one answer for each kind of question
Could you tell me something else?,I have one answer for each kind of question
Could you say something new?,I have one answer for each kind of question
Could you say something else?,I have one answer for each kind of question
Do you know any other responses?,I have one answer for each kind of question
You already said that,I have one answer for each kind of question
You said that already,I have one answer for each kind of question
You repeat yourself a lot,I have one answer for each kind of question
You repeat yourself a great deal,I have one answer for each kind of question
You realize you're repeating yourself?,I have one answer for each kind of question
"You realize you're repeating yourself, right?",I have one answer for each kind of question
You need some variety in your responses,I have one answer for each kind of question
You sound dumb when you repeat yourself,I have one answer for each kind of question
You keep saying the same thing,I have one answer for each kind of question
You sound like a broken record,I have one answer for each kind of question
You keep saying the exact same thing,I have one answer for each kind of question
You keep repeating yourself over and over,I have one answer for each kind of question
You keep repeating the same stuff,I have one answer for each kind of question
You just keep saying that over and over,I have one answer for each kind of question
You are repeating yourself,I have one answer for each kind of question
Is that the only answer you know?,I have one answer for each kind of question
You keep saying the same thing all the time,I have one answer for each kind of question
Your responses need variety,I have one answer for each kind of question
You've already said that,I have one answer for each kind of question
You're very repetitive,I have one answer for each kind of question
You're super repetitive,I have one answer for each kind of question
You're repetitive,I have one answer for each kind of question
You're repeating yourself,I have one answer for each kind of question
You're really repetitive,I have one answer for each kind of question
You say the same stuff over and over,I have one answer for each kind of question
You're a broken record,I have one answer for each kind of question
Would you give me a new response?,I have one answer for each kind of question
Your responses need a refresh,I have one answer for each kind of question
Your responses don't change,I have one answer for each kind of question
Your responses are getting stale,I have one answer for each kind of question
Your responses are all the same,I have one answer for each kind of question
Your material is getting stale,I have one answer for each kind of question
Your answers are getting stale,I have one answer for each kind of question
You told me that already,I have one answer for each kind of question
You're constantly repeating yourself,I have one answer for each kind of question
I've heard that one already,I have one answer for each kind of question
You already told me that,I have one answer for each kind of question
Stop saying the same thing,I have one answer for each kind of question
Stop saying that over and over,I have one answer for each kind of question
Stop repeating yourself,I have one answer for each kind of question
Stop repeating that,I have one answer for each kind of question
Say a new thing,I have one answer for each kind of question
Same old same old,I have one answer for each kind of question
This again?,I have one answer for each kind of question
I've heard that one before,I have one answer for each kind of question
This answer again?,I have one answer for each kind of question
I've heard that before,I have one answer for each kind of question
I've heard all your responses over and over,I have one answer for each kind of question
I've already heard that one,I have one answer for each kind of question
Is that the only thing you can say?,I have one answer for each kind of question
You've said that before,I have one answer for each kind of question
Please say something different,I have one answer for each kind of question
Why do you always repeat yourself?,I have one answer for each kind of question
Would you give me a different response?,I have one answer for each kind of question
Would you give me a different answer?,I have one answer for each kind of question
Would you give me a new answer?,I have one answer for each kind of question
Why wont you say something new?,I have one answer for each kind of question
Why is what you say so limited?,I have one answer for each kind of question
Why don't you say anything different?,I have one answer for each kind of question
Why do you say the same thing all the time?,I have one answer for each kind of question
That's all you ever say,I have one answer for each kind of question
Why do you always say the same thing?,I have one answer for each kind of question
Is that the only response you have?,I have one answer for each kind of question
Why are your responses always the same?,I have one answer for each kind of question
Why are your responses always identical?,I have one answer for each kind of question
Why are your answers so repetitive?,I have one answer for each kind of question
Why are you so repetitive?,I have one answer for each kind of question
Why are you so limited?,I have one answer for each kind of question
Why are you repeating yourself?,I have one answer for each kind of question
This responses again?,I have one answer for each kind of question
Why do you keep repeating yourself?,I have one answer for each kind of question
???? ??? ??? ???,??? ????? ????? ??? ??? ?? ???????
?? ???? ?? ??? ???? ???????,??? ????? ????? ??? ??? ?? ???????
??? ???? ?? ??? ????,??? ????? ????? ??? ??? ?? ???????
??? ?????? ???? ???????,??? ????? ????? ??? ??? ?? ???????
??? ??? ??? ???????,??? ????? ????? ??? ??? ?? ???????
??? ??? ??? ???????,??? ????? ????? ??? ??? ?? ???????
?? ???? ?? ?????? ???? ??????,??? ????? ????? ??? ??? ?? ???????
?? ???? ?? ???? ?? ???? ????,??? ????? ????? ??? ??? ?? ???????
?? ????? ?? ???? ???? ??????,??? ????? ????? ??? ??? ?? ???????
?? ????? ?? ???? ???? ????,??? ????? ????? ??? ??? ?? ???????
?? ???? ?? ???? ?????,??? ????? ????? ??? ??? ?? ???????
??? ??? ??? ??????,??? ????? ????? ??? ??? ?? ???????
??? ??? ??????,??? ????? ????? ??? ??? ?? ???????
???? ???? ??????,??? ????? ????? ??? ??? ?? ???????
???? ???? ?????,??? ????? ????? ??? ??? ?? ???????
?? ???? ??? ???? ?????,??? ????? ????? ??? ??? ?? ???????
"??? ???? ??? ???? ????? ???? ?????",??? ????? ????? ??? ??? ?? ???????
??? ????? ??? ??? ?????? ?? ?????,??? ????? ????? ??? ??? ?? ???????
??? ???? ????? ????? ???? ????,??? ????? ????? ??? ??? ?? ???????
??? ????? ?? ??? ??? ?????,??? ????? ????? ??? ??? ?? ???????
??? ???? ?????? ??????? ??????,??? ????? ????? ??? ??? ?? ???????
??? ????? ?? ??? ??? ????? ??????,??? ????? ????? ??? ??? ?? ???????
??? ????? ?? ????? ????? ?????? ????????,??? ????? ????? ??? ??? ?? ???????
??? ????? ?? ????? ??? ???????,??? ????? ????? ??? ??? ?? ???????
??? ??? ????? ?? ??? ??? ?????? ????????,??? ????? ????? ??? ??? ?? ???????
??? ???? ????,??? ????? ????? ??? ??? ?? ???????
?? ??? ?? ?????? ?????? ???? ??????,??? ????? ????? ??? ??? ?? ???????
??? ????? ?? ??? ??? ????? ???? ?????,??? ????? ????? ??? ??? ?? ???????
????? ????? ??? ??????,??? ????? ????? ??? ??? ?? ???????
??? ??? ??? ??????,??? ????? ????? ??? ??? ?? ???????
??? ????? ???,??? ????? ????? ??? ??? ?? ???????
??? ????? ??????,??? ????? ????? ??? ??? ?? ???????
??? ?????,??? ????? ????? ??? ??? ?? ???????
??? ???? ????,??? ????? ????? ??? ??? ?? ???????
??? ????? ???,??? ????? ????? ??? ??? ?? ???????
??? ???? ??? ??????? ????? ???????,??? ????? ????? ??? ??? ?? ???????
??? ??? ?????,??? ????? ????? ??? ??? ?? ???????
?? ?????? ??? ??????,??? ????? ????? ??? ??? ?? ???????
????? ????? ??? ?????,??? ????? ????? ??? ??? ?? ???????
????? ?? ?????,??? ????? ????? ??? ??? ?? ???????
????? ????? ?????,??? ????? ????? ??? ??? ?? ???????
?????? ???? ???????,??? ????? ????? ??? ??? ?? ???????
?????? ?????? ?? ????? ?????,??? ????? ????? ??? ??? ?? ???????
??????? ????? ?????,??? ????? ????? ??? ??? ?? ???????
??? ??? ?? ??? ??????,??? ????? ????? ??? ??? ?? ???????
??? ???? ???? ????????,??? ????? ????? ??? ??? ?? ???????
??? ???? ??? ??????,??? ????? ????? ??? ??? ?? ???????
??? ??????? ???? ??????,??? ????? ????? ??? ??? ?? ???????
???? ?? ??? ??? ?????,??? ????? ????? ??? ??? ?? ???????
?????? ?? ??? ??? ????? ???????,??? ????? ????? ??? ??? ?? ???????
???? ?? ????? ????,??? ????? ????? ??? ??? ?? ???????
???? ?? ????? ???,??? ????? ????? ??? ??? ?? ???????
?? ???? ?????,??? ????? ????? ??? ??? ?? ???????
??? ?????? ???? ??????,??? ????? ????? ??? ??? ?? ???????
??? ??? ?????,??? ????? ????? ??? ??? ?? ???????
??? ???? ??? ?? ???,??? ????? ????? ??? ??? ?? ???????
??? ??????? ??? ?????,??? ????? ????? ??? ??? ?? ???????
??? ???? ??? ?? ???,??? ????? ????? ??? ??? ?? ???????
??? ???? ?? ?????? ????? ???????,??? ????? ????? ??? ??? ?? ???????
??? ???? ??? ??????,??? ????? ????? ??? ??? ?? ???????
?? ??? ?? ????? ?????? ???? ????? ?????,??? ????? ????? ??? ??? ?? ???????
??? ??? ??? ?? ???,??? ????? ????? ??? ??? ?? ???????
?? ???? ?? ???? ??????,??? ????? ????? ??? ??? ?? ???????
????? ???? ???? ??????,??? ????? ????? ??? ??? ?? ???????
?? ?????? ??? ???????,??? ????? ????? ??? ??? ?? ???????
?? ?????? ????? ???????,??? ????? ????? ??? ??? ?? ???????
?? ?????? ????? ??????,??? ????? ????? ??? ??? ?? ???????
????? ?? ???? ???? ??????,??? ????? ????? ??? ??? ?? ???????
????? ?? ????? ????? ????,??? ????? ????? ??? ??? ?? ???????
????? ?? ???? ???? ???????,??? ????? ????? ??? ??? ?? ???????
????? ???? ??? ????? ???? ??????,??? ????? ????? ??? ??? ?? ???????
??? ?? ?? ????? ?? ?? ??? ???,??? ????? ????? ??? ??? ?? ???????
????? ???? ??? ????? ??????,??? ????? ????? ??? ??? ?? ???????
?? ??? ?? ???? ?????? ?????,??? ????? ????? ??? ??? ?? ???????
????? ????? ????? ?? ??????,??? ????? ????? ??? ??? ?? ???????
????? ????? ????? ????????,??? ????? ????? ??? ??? ?? ???????
????? ??????? ?????? ????,??? ????? ????? ??? ??? ?? ???????
????? ??? ?????? ????,??? ????? ????? ??? ??? ?? ???????
????? ??? ?????? ????,??? ????? ????? ??? ??? ?? ???????
????? ???? ?????,??? ????? ????? ??? ??? ?? ???????
??? ?????? ??? ?????,??? ????? ????? ??? ??? ?? ???????
????? ????? ?? ????? ?????,??? ????? ????? ??? ??? ?? ???????
????? ?? ???? ?????,??? ????? ????? ??? ??? ?? ???????
?? ????? ?? ???? ???? ????,??? ????? ????? ??? ??? ?? ???????
???? ??? ?????,??? ????? ????? ??? ??? ?? ???????
???? ??? ??????,??? ????? ????? ??? ??? ?? ???????
???? ????? ??????,??? ????? ????? ??? ??? ?? ???????
????? ??? ???? ????,??? ????? ????? ??? ??? ?? ???????
?? ??? ???? ??? ??? ??? ??????,??? ????? ????? ??? ??? ?? ???????
????? ???? ???? ??? ??????,??? ????? ????? ??? ??? ?? ???????
????? ?? ????? ?? ???????,??? ????? ????? ??? ??? ?? ???????
????? ???? ???? ??? ??????,??? ????? ????? ??? ??? ?? ???????
??? ????? ?? ??? ????? ?? ???? ?????,??? ????? ????? ??? ??? ?? ???????
??? ???? ??? ??????,??? ????? ????? ??? ??? ?? ???????
????? ???? ????? ??? ??????,??? ????? ????? ??? ??? ?? ???????
????? ???? ?? ??? ???????,??? ????? ????? ??? ??? ?? ???????
?? ???? ??? ?? ???? ?????,??? ????? ????? ??? ??? ?? ???????
?? ???? ?? ?????? ?????,??? ????? ????? ??? ??? ?? ???????
????? ??? ??? ??? ??????,??? ????? ????? ??? ??? ?? ???????
????? ?? ???? ???? ???,??? ????? ????? ??? ??? ?? ???????
?? ??? ?? ?????? ?????? ?????,??? ????? ????? ??? ??? ?? ???????
?? ??? ?? ?? ?????,??? ????? ????? ??? ??? ?? ???????
?? ??? ?? ?? ?????? ?????,??? ????? ????? ??? ??? ?? ???????
?????? ??? ????? ??????,??? ????? ????? ??? ??? ?? ???????
?????? ??? ?? ????,??? ????? ????? ??? ??? ?? ???????
?????? ??? ????? ?????,??? ????? ????? ??? ??? ?? ???????
?????? ??? ????? ??????,??? ????? ????? ??? ??? ?? ???????
????? ?? ???? ?? ??? ???,??? ????? ????? ??? ??? ?? ???????
????? ?? ????? ?? ????? ????,??? ????? ????? ??? ??? ?? ???????
????? ?? ???? ???? ???,??? ????? ????? ??? ??? ?? ???????
????? ?? ???? ?? ??? ???,??? ????? ????? ??? ??? ?? ???????
????? ?? ????? ?????,??? ????? ????? ??? ??? ?? ???????
????? ?? ???? ???? ???,??? ????? ????? ??? ??? ?? ???????
????? ??? ?? ??? ?????? ???,??? ????? ????? ??? ??? ?? ???????
????? ?? ???? ???? ??? ??? ??????,??? ????? ????? ??? ??? ?? ???????
????? ?? ????? ?? ????? ????,??? ????? ????? ??? ??? ?? ???????
??? ???? ?? ??? ???? ???????,??? ????? ????? ??? ??? ?? ???????
???? ?? ????? ?? ????? ????,??? ????? ????? ??? ??? ?? ???????
?? ????? ?? ???? ?? ??? ????,??? ????? ????? ??? ??? ?? ???????
?? ???? ??? ?? ???? ??????,??? ????? ????? ??? ??? ?? ???????
??? ????? ?? ?????? ???? ?????,??? ????? ????? ??? ??? ?? ???????
??? ????? ?? ?????? ???? ????,??? ????? ????? ??? ??? ?? ???????
??? ????? ?? ?????? ???? ??????,??? ????? ????? ??? ??? ?? ???????
??? ????? ??? ?? ??? ????,??? ????? ????? ??? ??? ?? ???????
??? ????? ????? ????????,??? ????? ????? ??? ??? ?? ???????
?? ????? ?? ????? ??? ??? ????,??? ????? ????? ??? ??? ?? ???????
????? ????? ??????,??? ????? ????? ??? ??? ?? ???????
??? ????? ?? ???. ???? ????.,??? ????? ????? ??? ??? ?? ???????
?? ????? ????? ????????,??? ????? ????? ??? ??? ?? ???????
?? ????? ?? ???? ?? ??? ????,??? ????? ????? ??? ??? ?? ???????
?? ????? ?? ?????? ????? ?????,??? ????? ????? ??? ??? ?? ???????
?? ????? ?????? ??? ??? ??? ???????,??? ????? ????? ??? ??? ?? ???????
?? ????? ?????? ??? ?? ??? ????,??? ????? ????? ??? ??? ?? ???????
?? ????? ?? ????? ??? ?? ??? ????,??? ????? ????? ??? ??? ?? ???????
?? ???? ?? ???? ?????,??? ????? ????? ??? ??? ?? ???????
?? ??? ???? ?????? ???? ??????,??? ????? ????? ??? ??? ?? ???????
??? ???? ?? ??? ??? ???????,??? ????? ????? ??? ??? ?? ???????
??? ???? ?? ??? ????? ???????,??? ????? ????? ??? ??? ?? ???????
???? ???? ?? ?????? ?????,??? ????? ????? ??? ??? ?? ???????
??? ???? ?? ???? ??????,??? ????? ????? ??? ??? ?? ???????
?? ??????? ????? ?? ?? ??? ????,??? ????? ????? ??? ??? ?? ???????
?? ???? ??? ???? ?? ??? ????,??? ????? ????? ??? ??? ?? ???????
Who's older?,Age doesn't really apply to me
Are you old?,Age doesn't really apply to me
Are we the same age?,Age doesn't really apply to me
How long have you been alive?,Age doesn't really apply to me
Are you a teenager?,Age doesn't really apply to me
What's your birthday?,Age doesn't really apply to me
Which of us is younger?,Age doesn't really apply to me
What's your age?,Age doesn't really apply to me
What year were you born?,Age doesn't really apply to me
Are you young?,Age doesn't really apply to me
I bet you're old,Age doesn't really apply to me
How old are you?,Age doesn't really apply to me
how long have you been around?,Age doesn't really apply to me
How long has it been since you were born,Age doesn't really apply to me
How long ago were you born?,Age doesn't really apply to me
Do you have an age?,Age doesn't really apply to me
Do you have a birthday?,Age doesn't really apply to me
Are you younger than me?,Age doesn't really apply to me
are you older than me?,Age doesn't really apply to me
What age are you?,Age doesn't really apply to me
Are you my age?,Age doesn't really apply to me
Are you in your teens?,Age doesn't really apply to me
Are you an adult?,Age doesn't really apply to me
Are you a senior?,Age doesn't really apply to me
Are you a kid?,Age doesn't really apply to me
Are you a grownup?,Age doesn't really apply to me
Are you a grown up?,Age doesn't really apply to me
Are you a baby?,Age doesn't really apply to me
When were you born?,Age doesn't really apply to me
